layer,n,mean,std,median,p5,p95,frac_positive
0,25995,-0.00038777040088026004,0.016702691831774055,-0.0007915422320365906,-0.026930883154273035,0.029162055253982536,0.4705520292363916
5,25995,0.012544081462853504,0.1432484643922488,0.010248899459838867,-0.21288819313049315,0.24473018646240233,0.5370263512213888
10,25995,0.014036633285519526,0.22576867630358835,0.01527261734008789,-0.37851078510284425,0.38822467327117915,0.5375264473937296
15,25995,0.02246996766387281,0.20557795934480746,0.017776846885681152,-0.3051639199256897,0.3655725002288817,0.5407963069821119
20,25995,0.08389040904220285,0.41900920583214096,0.06376767158508301,-0.5782009601593018,0.8074779987335202,0.5807270628967109
25,25995,0.11467473467030556,0.5114032959858014,0.08525228500366211,-0.6907568454742431,1.0091013908386228,0.5846124254664359
30,25995,0.19149289036334485,0.8304901406261372,0.14397579431533813,-1.0746065258979798,1.6359112262725823,0.5919215233698788
35,25995,0.318177352164956,1.5707632361097739,0.23156070709228516,-2.085163402557373,3.0305601119995114,0.582381227159069
40,25995,0.2903406490612819,2.8007567155744497,0.204132080078125,-4.169412231445312,4.884188461303711,0.5397961146374303
45,25995,-0.12100654876468318,3.988441271393622,-0.1515655517578125,-6.301262664794922,6.231090545654297,0.47582227351413736
