layer,n,mean,std,median,p5,p95,frac_positive
0,26061,-0.0005539334862865698,0.01071421035438925,-0.00041142350528389215,-0.017618201673030853,0.016508609522134066,0.476535819807375
5,26061,0.01802601718576902,0.13837865361569296,0.00941920280456543,-0.19296646118164062,0.26954054832458496,0.5440313111545988
10,26061,0.015871358857334705,0.1794064673373847,0.009926795959472656,-0.25958967208862305,0.3204030990600586,0.5263804151797705
15,26061,0.01128703832055171,0.23008030468382426,0.00926429033279419,-0.36938273906707764,0.38986295461654663,0.520778174283412
20,26061,0.08804973001297957,0.38622971010738527,0.06689661741256714,-0.511148989200592,0.7438852339982986,0.5951037949426345
25,26061,0.12231798681063435,0.5242189547830918,0.0925302505493164,-0.670819878578186,1.0255796909332275,0.5907678139749051
30,26061,0.19252856901458837,0.8673825975714872,0.14285457134246826,-1.143087387084961,1.7173612117767334,0.5857411457733779
35,26061,0.2814890744753448,1.3661868895908855,0.19740581512451172,-1.7992143630981445,2.662623882293701,0.5812516787536932
40,26061,0.2676513763067065,2.076991663456798,0.20000648498535156,-3.0405960083007812,3.7548656463623047,0.5502091247457888
45,26061,0.045034502615726835,3.149400225051665,0.00131988525390625,-4.8633880615234375,5.067840576171875,0.5004412723993708
