layer,n,mean,std,median,p5,p95,frac_positive
0,25886,0.0005262949599996866,0.017292635409208383,0.00016966741532087326,-0.026793121360242367,0.02925104822497815,0.5057560071080893
5,25886,0.009807941907710126,0.10520804075900256,0.007376313209533691,-0.15087443590164185,0.179999440908432,0.5376265162636173
10,25886,0.013814490365344701,0.1604667303108166,0.009314775466918945,-0.23402470350265503,0.2837674915790558,0.5325272347987329
15,25886,-0.014127905223465938,0.31237205455780065,-0.014493942260742188,-0.5322532653808594,0.5158309936523438,0.4735764505910531
20,25886,0.061970201496877896,0.35233309319737094,0.0583798885345459,-0.5066549777984619,0.6360428929328918,0.5810090396353241
25,25886,0.021537899679686286,0.4935625539987199,0.01926293969154358,-0.8027449548244476,0.8279674053192139,0.5190836745731283
30,25886,0.04430949477339731,0.7673200733367227,0.028976023197174072,-1.1782146096229553,1.3289649784564972,0.5200494475778413
35,25886,0.15640476598609207,1.2533744175271808,0.12016773223876953,-1.8230595588684082,2.251420259475708,0.550181565324886
40,25886,0.03811197871081678,2.2797534934229233,0.020854949951171875,-3.663543701171875,3.6996374130249023,0.5052924360658271
45,25886,-0.4420780707094572,3.6385135202840835,-0.4304389953613281,-6.229650497436523,5.330677032470703,0.4381518967781813
